Link2Space track file / LorettOrbital 0.0.4
StationName: r8s
Station Position: 55.397	55.397	130
23:03:08   144:28   017:41
23:03:09   144:39   017:35
23:03:10   144:50   017:29
23:03:11   145:00   017:23
23:03:12   145:11   017:17
23:03:13   145:22   017:12
23:03:14   145:32   017:06
23:03:15   145:43   017:00
23:03:16   145:53   016:54
23:03:17   146:04   016:49
23:03:18   146:14   016:43
23:03:19   146:24   016:37
23:03:20   146:34   016:32
23:03:21   146:44   016:26
23:03:22   146:54   016:20
23:03:23   147:04   016:15
23:03:24   147:14   016:09
23:03:25   147:24   016:03
23:03:26   147:34   015:58
23:03:27   147:44   015:52
23:03:28   147:53   015:47
23:03:29   148:03   015:41
23:03:30   148:12   015:35
23:03:31   148:22   015:30
23:03:32   148:31   015:24
23:03:33   148:41   015:19
23:03:34   148:50   015:13
23:03:35   148:59   015:08
