Link2Space track file / LorettOrbital 0.0.4
StationName: r8s
Station Position: 55.397	55.397	130
06:01:47   334:14   021:04
06:01:48   333:59   021:09
06:01:49   333:44   021:13
06:01:50   333:29   021:18
06:01:51   333:13   021:22
06:01:52   332:58   021:27
06:01:53   332:43   021:31
06:01:54   332:27   021:36
06:01:55   332:12   021:40
06:01:56   331:56   021:44
06:01:57   331:40   021:49
06:01:58   331:24   021:53
06:01:59   331:08   021:57
06:02:00   330:53   022:02
06:02:01   330:36   022:06
06:02:02   330:20   022:10
06:02:03   330:04   022:14
06:02:04   329:48   022:19
06:02:05   329:32   022:23
06:02:06   329:15   022:27
06:02:07   328:59   022:31
06:02:08   328:42   022:35
06:02:09   328:25   022:39
06:02:10   328:09   022:43
06:02:11   327:52   022:47
06:02:12   327:35   022:51
06:02:13   327:18   022:55
06:02:14   327:01   022:59
06:02:15   326:44   023:03
06:02:16   326:27   023:06
06:02:17   326:09   023:10
06:02:18   325:52   023:14
06:02:19   325:35   023:18
06:02:20   325:17   023:21
06:02:21   325:00   023:25
06:02:22   324:42   023:29
06:02:23   324:24   023:32
06:02:24   324:06   023:36
06:02:25   323:49   023:39
06:02:26   323:31   023:43
06:02:27   323:13   023:46
06:02:28   322:55   023:49
06:02:29   322:37   023:53
06:02:30   322:18   023:56
06:02:31   322:00   023:59
06:02:32   321:42   024:02
06:02:33   321:23   024:06
06:02:34   321:05   024:09
06:02:35   320:46   024:12
06:02:36   320:28   024:15
06:02:37   320:09   024:18
06:02:38   319:51   024:21
06:02:39   319:32   024:23
06:02:40   319:13   024:26
06:02:41   318:54   024:29
06:02:42   318:35   024:32
06:02:43   318:16   024:34
06:02:44   317:57   024:37
06:02:45   317:38   024:40
06:02:46   317:19   024:42
06:02:47   317:00   024:45
06:02:48   316:40   024:47
06:02:49   316:21   024:49
06:02:50   316:02   024:52
06:02:51   315:42   024:54
06:02:52   315:23   024:56
06:02:53   315:03   024:58
06:02:54   314:44   025:00
06:02:55   314:24   025:02
06:02:56   314:04   025:04
06:02:57   313:45   025:06
06:02:58   313:25   025:08
06:02:59   313:05   025:10
06:03:00   312:45   025:12
06:03:01   312:26   025:13
06:03:02   312:06   025:15
06:03:03   311:46   025:16
06:03:04   311:26   025:18
06:03:05   311:06   025:19
06:03:06   310:46   025:21
06:03:07   310:26   025:22
06:03:08   310:06   025:23
06:03:09   309:45   025:25
06:03:10   309:25   025:26
06:03:11   309:05   025:27
06:03:12   308:45   025:28
06:03:13   308:25   025:29
06:03:14   308:05   025:30
06:03:15   307:44   025:31
06:03:16   307:24   025:31
06:03:17   307:04   025:32
06:03:18   306:43   025:33
06:03:19   306:23   025:33
06:03:20   306:03   025:34
06:03:21   305:42   025:34
06:03:22   305:22   025:35
06:03:23   305:02   025:35
06:03:24   304:41   025:35
06:03:25   304:21   025:35
06:03:26   304:00   025:35
06:03:27   303:40   025:36
06:03:28   303:20   025:36
06:03:29   302:59   025:36
06:03:30   302:39   025:35
06:03:31   302:18   025:35
06:03:32   301:58   025:35
06:03:33   301:38   025:35
06:03:34   301:17   025:34
06:03:35   300:57   025:34
06:03:36   300:37   025:33
06:03:37   300:16   025:33
06:03:38   299:56   025:32
06:03:39   299:36   025:31
06:03:40   299:15   025:31
06:03:41   298:55   025:30
06:03:42   298:35   025:29
06:03:43   298:14   025:28
06:03:44   297:54   025:27
06:03:45   297:34   025:26
06:03:46   297:14   025:25
06:03:47   296:54   025:24
06:03:48   296:34   025:22
06:03:49   296:13   025:21
06:03:50   295:53   025:20
06:03:51   295:33   025:18
06:03:52   295:13   025:17
06:03:53   294:53   025:15
06:03:54   294:33   025:14
06:03:55   294:13   025:12
06:03:56   293:54   025:10
06:03:57   293:34   025:08
06:03:58   293:14   025:06
06:03:59   292:54   025:05
06:04:00   292:34   025:03
06:04:01   292:15   025:01
06:04:02   291:55   024:58
06:04:03   291:36   024:56
06:04:04   291:16   024:54
06:04:05   290:57   024:52
06:04:06   290:37   024:50
06:04:07   290:18   024:47
06:04:08   289:58   024:45
06:04:09   289:39   024:42
06:04:10   289:20   024:40
06:04:11   289:01   024:37
06:04:12   288:41   024:35
06:04:13   288:22   024:32
06:04:14   288:03   024:29
06:04:15   287:44   024:26
06:04:16   287:26   024:24
06:04:17   287:07   024:21
06:04:18   286:48   024:18
06:04:19   286:29   024:15
06:04:20   286:10   024:12
06:04:21   285:52   024:09
06:04:22   285:33   024:06
06:04:23   285:15   024:03
06:04:24   284:56   023:59
06:04:25   284:38   023:56
06:04:26   284:20   023:53
06:04:27   284:02   023:50
06:04:28   283:43   023:46
06:04:29   283:25   023:43
06:04:30   283:07   023:39
06:04:31   282:49   023:36
06:04:32   282:31   023:32
06:04:33   282:14   023:29
06:04:34   281:56   023:25
06:04:35   281:38   023:21
06:04:36   281:21   023:18
06:04:37   281:03   023:14
06:04:38   280:46   023:10
06:04:39   280:28   023:06
06:04:40   280:11   023:03
06:04:41   279:54   022:59
06:04:42   279:37   022:55
06:04:43   279:20   022:51
06:04:44   279:03   022:47
06:04:45   278:46   022:43
06:04:46   278:29   022:39
06:04:47   278:12   022:35
06:04:48   277:55   022:31
06:04:49   277:39   022:27
06:04:50   277:22   022:22
06:04:51   277:06   022:18
06:04:52   276:49   022:14
06:04:53   276:33   022:10
06:04:54   276:17   022:06
06:04:55   276:00   022:01
06:04:56   275:44   021:57
06:04:57   275:28   021:53
06:04:58   275:12   021:48
06:04:59   274:57   021:44
06:05:00   274:41   021:39
06:05:01   274:25   021:35
06:05:02   274:10   021:31
06:05:03   273:54   021:26
06:05:04   273:39   021:22
06:05:05   273:23   021:17
06:05:06   273:08   021:13
06:05:07   272:53   021:08
06:05:08   272:37   021:03
06:05:09   272:22   020:59
06:05:10   272:07   020:54
06:05:11   271:53   020:50
06:05:12   271:38   020:45
06:05:13   271:23   020:40
06:05:14   271:08   020:36
06:05:15   270:54   020:31
06:05:16   270:39   020:26
06:05:17   270:25   020:21
06:05:18   270:10   020:17
06:05:19   269:56   020:12
06:05:20   269:42   020:07
06:05:21   269:28   020:02
06:05:22   269:14   019:58
06:05:23   269:00   019:53
06:05:24   268:46   019:48
06:05:25   268:32   019:43
06:05:26   268:18   019:38
06:05:27   268:05   019:33
06:05:28   267:51   019:28
06:05:29   267:37   019:24
06:05:30   267:24   019:19
06:05:31   267:11   019:14
06:05:32   266:57   019:09
06:05:33   266:44   019:04
06:05:34   266:31   018:59
06:05:35   266:18   018:54
06:05:36   266:05   018:49
06:05:37   265:52   018:44
06:05:38   265:39   018:39
06:05:39   265:26   018:34
06:05:40   265:14   018:29
06:05:41   265:01   018:25
06:05:42   264:48   018:20
06:05:43   264:36   018:15
06:05:44   264:24   018:10
06:05:45   264:11   018:05
06:05:46   263:59   018:00
06:05:47   263:47   017:55
06:05:48   263:35   017:50
06:05:49   263:23   017:45
06:05:50   263:11   017:40
06:05:51   262:59   017:35
06:05:52   262:47   017:30
06:05:53   262:35   017:25
06:05:54   262:23   017:20
06:05:55   262:12   017:15
06:05:56   262:00   017:10
06:05:57   261:49   017:05
06:05:58   261:37   017:00
06:05:59   261:26   016:55
06:06:00   261:15   016:50
06:06:01   261:03   016:45
06:06:02   260:52   016:40
06:06:03   260:41   016:35
06:06:04   260:30   016:30
06:06:05   260:19   016:25
06:06:06   260:08   016:20
06:06:07   259:57   016:15
06:06:08   259:46   016:10
06:06:09   259:36   016:05
06:06:10   259:25   016:00
06:06:11   259:15   015:55
06:06:12   259:04   015:50
06:06:13   258:54   015:45
06:06:14   258:43   015:40
06:06:15   258:33   015:35
06:06:16   258:22   015:30
06:06:17   258:12   015:25
06:06:18   258:02   015:20
06:06:19   257:52   015:15
06:06:20   257:42   015:10
06:06:21   257:32   015:05
