Link2Space track file / LorettOrbital 0.0.4
StationName: r8s
Station Position: 55.397	55.397	130
06:15:45   079:11   055:37
06:15:46   080:02   055:48
06:15:47   080:54   055:58
06:15:48   081:46   056:07
06:15:49   082:39   056:17
06:15:50   083:32   056:26
06:15:51   084:27   056:34
06:15:52   085:21   056:42
06:15:53   086:16   056:50
06:15:54   087:12   056:58
06:15:55   088:08   057:05
06:15:56   089:05   057:11
06:15:57   090:02   057:17
06:15:58   090:59   057:23
06:15:59   091:57   057:28
06:16:00   092:55   057:33
06:16:01   093:54   057:38
06:16:02   094:53   057:41
06:16:03   095:52   057:45
06:16:04   096:51   057:48
06:16:05   097:51   057:50
06:16:06   098:51   057:52
06:16:07   099:51   057:54
06:16:08   100:51   057:55
06:16:09   101:51   057:56
06:16:10   102:51   057:56
06:16:11   103:51   057:55
06:16:12   104:51   057:54
06:16:13   105:51   057:53
06:16:14   106:51   057:51
06:16:15   107:50   057:49
06:16:16   108:50   057:46
06:16:17   109:49   057:43
06:16:18   110:48   057:39
06:16:19   111:47   057:35
06:16:20   112:45   057:30
06:16:21   113:43   057:25
06:16:22   114:41   057:19
06:16:23   115:38   057:13
06:16:24   116:35   057:07
06:16:25   117:32   057:00
06:16:26   118:28   056:53
06:16:27   119:23   056:45
06:16:28   120:18   056:37
06:16:29   121:12   056:29
06:16:30   122:06   056:20
06:16:31   122:59   056:10
06:16:32   123:52   056:01
06:16:33   124:44   055:51
06:16:34   125:35   055:41
06:16:35   126:26   055:30
06:16:36   127:16   055:19
06:16:37   128:05   055:08
06:16:38   128:54   054:56
06:16:39   129:42   054:45
06:16:40   130:29   054:32
06:16:41   131:16   054:20
06:16:42   132:02   054:08
06:16:43   132:48   053:55
06:16:44   133:32   053:42
06:16:45   134:17   053:28
06:16:46   135:00   053:15
06:16:47   135:43   053:01
06:16:48   136:25   052:47
06:16:49   137:06   052:33
06:16:50   137:47   052:19
06:16:51   138:27   052:04
06:16:52   139:06   051:50
06:16:53   139:45   051:35
06:16:54   140:23   051:20
06:16:55   141:01   051:05
06:16:56   141:38   050:50
06:16:57   142:14   050:35
06:16:58   142:49   050:19
06:16:59   143:24   050:04
06:17:00   143:59   049:48
06:17:01   144:33   049:33
06:17:02   145:06   049:17
06:17:03   145:39   049:01
06:17:04   146:11   048:45
06:17:05   146:43   048:29
06:17:06   147:14   048:13
06:17:07   147:44   047:57
06:17:08   148:14   047:41
06:17:09   148:44   047:25
06:17:10   149:13   047:09
06:17:11   149:41   046:53
06:17:12   150:09   046:37
06:17:13   150:37   046:21
06:17:14   151:04   046:05
06:17:15   151:31   045:49
06:17:16   151:57   045:33
06:17:17   152:22   045:16
06:17:18   152:48   045:00
06:17:19   153:13   044:44
06:17:20   153:37   044:28
06:17:21   154:01   044:12
06:17:22   154:25   043:56
06:17:23   154:48   043:40
06:17:24   155:11   043:24
06:17:25   155:33   043:08
06:17:26   155:55   042:52
06:17:27   156:17   042:37
06:17:28   156:39   042:21
06:17:29   157:00   042:05
06:17:30   157:20   041:49
06:17:31   157:41   041:34
06:17:32   158:01   041:18
06:17:33   158:21   041:03
06:17:34   158:40   040:47
06:17:35   158:59   040:32
06:17:36   159:18   040:16
06:17:37   159:36   040:01
06:17:38   159:55   039:46
06:17:39   160:13   039:31
06:17:40   160:30   039:16
06:17:41   160:48   039:00
06:17:42   161:05   038:46
06:17:43   161:22   038:31
06:17:44   161:38   038:16
06:17:45   161:54   038:01
06:17:46   162:11   037:46
06:17:47   162:26   037:32
06:17:48   162:42   037:17
06:17:49   162:57   037:03
06:17:50   163:13   036:48
06:17:51   163:28   036:34
06:17:52   163:42   036:20
06:17:53   163:57   036:06
06:17:54   164:11   035:52
06:17:55   164:25   035:38
06:17:56   164:39   035:24
06:17:57   164:53   035:10
06:17:58   165:06   034:56
06:17:59   165:20   034:42
06:18:00   165:33   034:29
06:18:01   165:46   034:15
06:18:02   165:59   034:02
06:18:03   166:11   033:48
06:18:04   166:24   033:35
06:18:05   166:36   033:22
06:18:06   166:48   033:09
06:18:07   167:00   032:56
06:18:08   167:12   032:43
06:18:09   167:23   032:30
06:18:10   167:35   032:17
06:18:11   167:46   032:04
06:18:12   167:57   031:52
06:18:13   168:08   031:39
06:18:14   168:19   031:27
06:18:15   168:30   031:14
06:18:16   168:40   031:02
06:18:17   168:51   030:50
06:18:18   169:01   030:37
06:18:19   169:11   030:25
06:18:20   169:21   030:13
06:18:21   169:31   030:01
06:18:22   169:41   029:49
06:18:23   169:51   029:37
06:18:24   170:00   029:26
06:18:25   170:10   029:14
06:18:26   170:19   029:02
06:18:27   170:29   028:51
06:18:28   170:38   028:39
06:18:29   170:47   028:28
06:18:30   170:56   028:17
06:18:31   171:04   028:05
06:18:32   171:13   027:54
06:18:33   171:22   027:43
06:18:34   171:30   027:32
06:18:35   171:39   027:21
06:18:36   171:47   027:10
06:18:37   171:55   026:59
06:18:38   172:03   026:49
06:18:39   172:11   026:38
06:18:40   172:19   026:27
06:18:41   172:27   026:17
06:18:42   172:35   026:06
06:18:43   172:43   025:56
06:18:44   172:50   025:45
06:18:45   172:58   025:35
06:18:46   173:05   025:25
06:18:47   173:12   025:15
06:18:48   173:20   025:05
06:18:49   173:27   024:55
06:18:50   173:34   024:45
06:18:51   173:41   024:35
06:18:52   173:48   024:25
06:18:53   173:55   024:15
06:18:54   174:02   024:05
06:18:55   174:08   023:56
06:18:56   174:15   023:46
06:18:57   174:22   023:36
06:18:58   174:28   023:27
06:18:59   174:35   023:17
06:19:00   174:41   023:08
06:19:01   174:48   022:59
06:19:02   174:54   022:49
06:19:03   175:00   022:40
06:19:04   175:06   022:31
06:19:05   175:12   022:22
06:19:06   175:18   022:13
06:19:07   175:24   022:04
06:19:08   175:30   021:55
06:19:09   175:36   021:46
06:19:10   175:42   021:37
06:19:11   175:48   021:28
06:19:12   175:53   021:20
06:19:13   175:59   021:11
06:19:14   176:05   021:02
06:19:15   176:10   020:54
06:19:16   176:16   020:45
06:19:17   176:21   020:37
06:19:18   176:26   020:28
06:19:19   176:32   020:20
06:19:20   176:37   020:11
06:19:21   176:42   020:03
06:19:22   176:47   019:55
06:19:23   176:53   019:47
06:19:24   176:58   019:38
06:19:25   177:03   019:30
06:19:26   177:08   019:22
06:19:27   177:13   019:14
06:19:28   177:18   019:06
06:19:29   177:22   018:58
06:19:30   177:27   018:50
06:19:31   177:32   018:42
06:19:32   177:37   018:35
06:19:33   177:42   018:27
06:19:34   177:46   018:19
06:19:35   177:51   018:11
06:19:36   177:55   018:04
06:19:37   178:00   017:56
06:19:38   178:04   017:49
06:19:39   178:09   017:41
06:19:40   178:13   017:34
06:19:41   178:18   017:26
06:19:42   178:22   017:19
06:19:43   178:26   017:11
06:19:44   178:31   017:04
06:19:45   178:35   016:57
06:19:46   178:39   016:49
06:19:47   178:43   016:42
06:19:48   178:48   016:35
06:19:49   178:52   016:28
06:19:50   178:56   016:21
06:19:51   179:00   016:14
06:19:52   179:04   016:07
06:19:53   179:08   016:00
06:19:54   179:12   015:53
06:19:55   179:16   015:46
06:19:56   179:20   015:39
06:19:57   179:23   015:32
06:19:58   179:27   015:25
06:19:59   179:31   015:18
06:20:00   179:35   015:12
